seg1,t1,seg2,t2
91,0.655074,89,0.461946
92,0.169377,2,-5.06727
92,0.214608,71,-0.0854338
92,0.169818,89,-0.0476327
93,0.97184,2,-4.95521
93,1.07295,71,-0.0140178
93,1.17646,92,0.281158
94,0.860662,2,-5.05426
94,0.0380393,22,5.95115
94,0.946984,71,-0.00651798
94,0.903877,89,-0.0737545
94,-0.00656946,91,1.27277
94,0.923785,92,0.211759
94,0.945169,93,1.10009
95,0.885227,22,5.90659
95,0.936283,91,1.27655
95,0.121384,93,0.286784
95,0.947127,94,-0.0082072
96,5.25524,22,5.69308
96,3.99244,89,0.935128
96,4.42053,90,0.842566
96,4.92103,91,1.20416
96,4.97787,94,0.0455112
96,5.04736,95,0.854459
97,0.776195,2,-5.54294
97,0.108061,22,6.4231
97,0.472429,89,0.433807
97,0.426723,91,0.685774
97,0.0523577,96,4.47498
98,0.998554,2,-4.41853
98,0.0897433,22,5.35776
98,0.568815,93,0.277377
98,0.579036,95,0.11155
98,0.172667,96,5.59831
99,0.448216,74,1.05435
100,-0.300391,22,5.8827
100,-0.428825,94,-0.00276443
100,-0.425676,95,0.947124
101,0.945943,22,5.96185
101,0.952231,91,1.24551
101,1.00187,94,0.0868517
101,0.903693,95,0.974811
101,0.972034,96,4.97572
101,0.925936,100,-0.430223
102,0.973934,22,3.93552
102,-0.0933831,35,1.2522
102,-0.0860302,75,2.37041
102,0.627158,81,-0.155849
102,-0.0450841,86,0.847276
102,0.505423,87,0.0274938
102,1.17097,96,4.00723
103,0.100779,2,3.83337
103,0.154845,97,0.932451
104,-1.39455,2,3.4364
104,-1.34421,71,0.110161
104,1.60319,72,5.99966e-05
104,-1.25397,92,0.261315
104,-1.26514,93,1.14141
104,-1.28467,94,0.958275
104,-1.0178,97,0.94098
104,-1.0028,103,0.160021
105,1.17214,22,6.40721
105,0.14924,81,-0.684248
105,1.61713,89,0.438352
105,0.704382,90,1.02735
105,1.55176,91,0.711997
105,1.15591,96,4.48436
105,1.04968,97,-0.043906
106,0.611296,2,-5.55151
106,0.181223,22,6.43892
106,-0.0728649,81,-0.28243
106,0.450532,90,0.593207
106,0.0394708,102,0.60011
106,0.939561,103,0.373493
106,0.734266,104,-1.02817
107,1.1666,22,5.96339
107,0.0190841,35,3.76689
107,0.422174,81,-0.105367
107,0.320999,87,0.056788
107,1.2189,94,-0.0250588
107,1.22095,95,0.941375
107,1.2219,100,-0.385232
107,1.16664,101,0.893482
107,0.459685,102,0.480302
107,0.567949,106,0.0683596
108,1.15005,35,5.79189
108,-0.215356,75,2.49168
108,0.972179,76,2.13331
108,0.59579,83,-0.101361
108,0.234336,84,-0.0737542
108,0.584372,85,0.128308
108,0.919187,86,0.95171
109,0.944661,80,0.646716
109,0.159842,108,-0.0923579
110,1.25148,80,0.942381
110,1.29012,82,0.0747545
110,0.0530933,108,-0.438335
110,0.666773,109,0.593012
111,0.940191,96,3.00267
112,-0.24639,2,4.06841
112,-0.359652,91,0.0841375
112,0.869838,96,3.02175
112,0.921502,111,0.962934
113,1.177,22,3.56443
113,1.32592,89,0.991948
113,1.25555,96,3.88412
113,-0.0227738,104,-0.17006
113,0.693292,112,0.297026
114,0.941814,96,3.47932
114,0.0545585,104,-0.44197
114,0.563275,112,0.305452
114,0.551316,113,0.683904
118,-1.3234,117,1.1464
119,0.923372,22,7.40981
120,1.3812,80,0.401616
120,0.0354914,84,-0.0754343
120,0.0377145,108,0.231911
120,0.766413,109,0.554103
120,0.801648,110,0.638852
121,0.879947,110,1.21283
121,-0.0712931,119,0.000487365
122,0.860896,22,7.06175
122,0.0237205,108,-0.411152
122,0.00878767,110,0.0711574
122,0.534213,111,0.423012
123,0.879996,96,3.45232
124,-0.559877,80,1.26787
124,-0.111628,82,0.0581009
124,-0.536171,83,0.966342
124,0.320202,109,1.0422
124,-0.138119,110,1.30861
124,0.823789,120,1.6603
124,-0.0348452,121,0.837578
125,0.663526,117,0.576181
125,0.424196,118,-2.05556
126,0.280801,117,-0.458532
126,-0.079463,118,-2.43857
127,0.0710924,117,0.256471
127,1.28696,120,1.50909
127,1.22262,124,0.741283
127,0.403741,125,0.813728
128,0.600982,81,0.757534
130,0.997904,123,0.299595
132,-0.245621,117,2.48755
133,0.621642,96,2.93755
133,0.544661,112,0.969019
134,0.921932,96,2.92875
134,-0.217053,104,0.237782
134,1.0025,111,0.932739
134,0.978889,112,0.935867
134,0.936351,133,0.605911
135,-0.0379503,96,1.94221
136,0.926276,96,2.43089
136,-0.192571,104,0.102819
136,0.181762,134,0.168286
137,0.956636,96,1.92858
137,-0.306566,104,-0.165982
137,-0.298664,113,-0.0396285
137,0.232623,134,0.265776
137,0.928159,135,-0.0661922
137,0.320944,136,0.354102
138,0.0700498,120,1.66844
