wall_time,processing_time,seg_vec_size,nblines
6.8008e+07,256000,50,6
6.8264e+07,256000,50,6
6.8544e+07,280000,50,7
6.8816e+07,272000,51,7
6.9032e+07,215999,51,5
6.9272e+07,240000,51,6
6.952e+07,247999,51,6
6.976e+07,240000,51,5
7.0008e+07,247999,51,6
7.0304e+07,296000,51,7
7.0736e+07,432000,51,9
7.1144e+07,408000,51,10
7.1528e+07,384000,51,9
7.1904e+07,375999,51,10
7.224e+07,336000,51,8
7.2616e+07,376000,51,8
7.3112e+07,496000,51,10
7.3488e+07,376000,51,7
7.3864e+07,376000,52,7
7.4168e+07,304000,53,6
7.4576e+07,408000,53,8
7.492e+07,344000,53,7
7.5256e+07,336000,53,7
7.5568e+07,311999,53,6
7.5848e+07,280000,53,6
7.6104e+07,256000,53,5
7.644e+07,336000,53,7
7.6712e+07,272000,53,5
7.7096e+07,384000,53,8
7.7472e+07,376000,53,7
7.7768e+07,296000,53,6
7.7992e+07,224000,53,7
7.8168e+07,176000,53,5
7.8496e+07,327999,53,10
7.9e+07,504000,53,10
7.948e+07,480000,53,9
7.9968e+07,488000,53,9
8.0432e+07,464000,53,10
8.0808e+07,376000,53,8
8.116e+07,351999,53,8
8.1568e+07,408000,54,10
8.1992e+07,424000,54,10
8.2472e+07,480000,55,10
8.28e+07,327999,55,6
8.304e+07,240000,55,5
8.3248e+07,208000,55,4
8.3432e+07,184000,55,4
8.364e+07,208000,55,4
8.3816e+07,176000,55,4
8.4e+07,184000,55,4
8.4264e+07,239999,55,5
8.4448e+07,184000,55,4
8.4624e+07,175999,55,4
8.4856e+07,208000,55,4
8.5056e+07,199999,55,4
8.5296e+07,224000,55,4
8.5488e+07,191999,55,4
8.5728e+07,240000,55,5
8.5912e+07,184000,55,4
8.6096e+07,184000,55,4
8.628e+07,168000,55,3
8.6576e+07,256000,55,5
8.6904e+07,327999,55,7
8.7368e+07,464000,55,10
8.7736e+07,368000,55,6
8.808e+07,343999,55,6
8.8528e+07,448000,57,7
8.8904e+07,375999,57,7
8.92e+07,296000,59,5
8.9568e+07,367999,59,7
8.9992e+07,424000,61,10
9.0416e+07,423999,62,9
9.0784e+07,368000,62,9
9.116e+07,375999,62,9
9.14e+07,240000,62,7
9.168e+07,280000,62,7
9.1912e+07,232000,62,6
9.2184e+07,271999,63,7
9.2408e+07,224000,63,6
9.2608e+07,200000,63,5
9.2848e+07,239999,63,5
9.3072e+07,224000,63,5
9.3296e+07,224000,63,5
9.3528e+07,232000,63,5
9.3816e+07,288000,63,7
9.4112e+07,296000,64,7
9.4352e+07,240000,64,5
9.4592e+07,239999,64,5
9.4872e+07,280000,64,6
9.5152e+07,280000,64,6
9.54e+07,248000,64,6
9.5656e+07,256000,64,5
9.5896e+07,240000,64,5
9.6184e+07,287999,64,6
9.6448e+07,264000,64,5
9.676e+07,312000,64,6
9.7144e+07,384000,64,9
9.7544e+07,399999,64,10
9.7904e+07,360000,64,7
9.836e+07,456000,64,10
9.8864e+07,504000,64,10
9.9296e+07,432000,64,9
9.968e+07,384000,64,9
1e+08,320000,64,8
1.0036e+08,359999,64,8
1.00688e+08,328000,64,8
1.01016e+08,328000,64,8
1.01312e+08,295999,64,7
1.01616e+08,304000,64,7
1.0192e+08,304000,64,6
1.02168e+08,248000,64,5
1.02448e+08,280000,64,6
1.028e+08,351999,64,7
1.032e+08,400000,64,10
1.03624e+08,423999,64,9
1.03976e+08,352000,64,8
1.0428e+08,304000,64,7
1.04664e+08,384000,64,7
1.04952e+08,287999,64,6
1.0528e+08,328000,64,7
1.05664e+08,384000,64,7
1.06096e+08,424000,64,10
1.0644e+08,343999,64,7
1.06776e+08,336000,65,7
1.07152e+08,376000,65,8
1.07504e+08,352000,65,7
1.07824e+08,319999,65,7
1.08216e+08,392000,65,8
1.08544e+08,327999,65,7
1.08928e+08,384000,65,10
1.09408e+08,480000,65,10
1.09832e+08,424000,65,9
1.1012e+08,288000,65,8
1.10352e+08,232000,65,8
1.10496e+08,144000,65,6
1.1064e+08,144000,65,6
1.10808e+08,168000,65,6
1.10984e+08,168000,65,6
1.11336e+08,311999,65,6
1.11528e+08,192000,66,7
1.1188e+08,351999,66,7
1.12272e+08,392000,66,8
1.12768e+08,496000,66,10
1.12968e+08,200000,66,6
1.13248e+08,280000,67,7
1.1352e+08,271999,67,6
1.13896e+08,376000,67,7
1.14144e+08,248000,68,7
1.1436e+08,215999,68,6
1.14632e+08,272000,68,9
1.15024e+08,392000,68,10
1.15472e+08,448000,68,9
1.1588e+08,407999,68,8
1.1632e+08,440000,68,9
1.16744e+08,423999,68,9
1.16952e+08,208000,68,5
1.17112e+08,160000,68,5
1.17328e+08,216000,68,5
1.17432e+08,104000,68,4
1.17688e+08,176000,68,4
1.17872e+08,152000,68,4
1.1812e+08,192000,68,5
1.18344e+08,208000,68,6
1.18648e+08,303999,68,10
1.18984e+08,336000,68,10
1.1944e+08,455999,69,10
1.1984e+08,400000,69,9
1.20104e+08,263999,69,6
1.20344e+08,240000,69,5
1.20528e+08,184000,69,4
1.20744e+08,215999,69,4
1.20952e+08,208000,69,4
1.21168e+08,216000,69,4
1.21368e+08,200000,69,4
1.2156e+08,192000,69,5
1.21736e+08,176000,69,3
1.21936e+08,200000,69,4
1.2212e+08,184000,69,4
1.22312e+08,191999,69,4
1.22568e+08,239999,69,5
1.22752e+08,184000,69,3
1.2292e+08,168000,69,4
1.23176e+08,224000,69,4
1.23432e+08,256000,69,6
1.23664e+08,232000,69,5
1.23976e+08,311999,69,8
1.24264e+08,288000,69,6
1.24616e+08,352000,69,8
1.24928e+08,312000,69,6
1.25184e+08,256000,69,6
1.2564e+08,456000,69,9
1.2612e+08,480000,69,9
1.26584e+08,464000,70,10
1.26984e+08,400000,71,10
1.274e+08,416000,72,10
1.2776e+08,360000,72,8
1.28112e+08,351999,72,9
1.28312e+08,200000,72,5
1.28464e+08,151999,72,3
1.28632e+08,168000,72,4
1.2876e+08,127999,72,3
1.29008e+08,208000,72,5
1.29168e+08,152000,72,3
1.294e+08,184000,72,4
1.296e+08,167999,72,4
1.29856e+08,215999,72,5
1.30088e+08,232000,72,5
1.30272e+08,184000,72,4
1.30472e+08,200000,72,5
1.30696e+08,216000,72,5
1.30912e+08,216000,72,5
1.3112e+08,208000,72,5
1.31256e+08,136000,72,3
1.3152e+08,200000,72,5
1.31752e+08,224000,72,5
1.3196e+08,208000,72,5
1.32208e+08,247999,72,6
1.3256e+08,352000,72,8
1.32832e+08,271999,72,6
1.33152e+08,320000,72,6
1.33488e+08,335999,72,7
1.3376e+08,272000,72,6
1.3412e+08,360000,73,7
1.34536e+08,416000,74,8
1.34896e+08,360000,74,8
1.35288e+08,392000,74,8
1.35576e+08,287999,74,6
1.3592e+08,344000,74,9
1.36296e+08,375999,74,9
1.36592e+08,296000,74,7
1.36944e+08,352000,74,8
1.37328e+08,384000,75,10
1.37728e+08,400000,75,10
1.3816e+08,431999,76,10
1.38568e+08,408000,77,9
1.39e+08,432000,78,10
1.39424e+08,424000,79,10
1.39784e+08,359999,79,9
1.40112e+08,328000,79,8
1.40456e+08,344000,79,8
1.4076e+08,304000,79,7
1.41024e+08,264000,79,7
1.41312e+08,288000,79,7
1.41616e+08,304000,79,8
1.4196e+08,344000,79,9
1.4236e+08,400000,79,10
1.42712e+08,351999,79,8
1.43144e+08,432000,80,10
1.4348e+08,335999,80,6
1.43864e+08,384000,80,7
1.44312e+08,448000,80,7
1.44648e+08,335999,80,6
1.44968e+08,320000,80,6
1.45288e+08,320000,80,6
1.45552e+08,263999,80,5
1.45936e+08,384000,80,8
1.46296e+08,359999,80,8
1.46608e+08,312000,81,9
1.46992e+08,383999,82,10
1.47392e+08,400000,82,10
1.4776e+08,368000,84,10
1.4816e+08,400000,84,10
1.48568e+08,408000,84,10
1.49008e+08,440000,85,10
1.49448e+08,440000,85,10
1.49944e+08,496000,85,10
1.50448e+08,504000,85,10
1.50912e+08,464000,85,10
1.51368e+08,455999,85,10
1.518e+08,432000,85,10
1.52232e+08,431999,85,10
1.5268e+08,448000,85,10
1.532e+08,520000,86,10
