x,y,z,yaw,duration
0.5, 2.0, 0.1, -1.57, 5
0.5, 2.0, 4.0, -1.57, 15
-0.5, 2.0, 4.0, -1.57, 5
-0.5, 2.0, 0.3, -1.57, 15
-1.5, 1.0, 0.3, 0.0, 5
-1.5, 1.0, 4.0, 0.0, 15
-1.5, 0.0, 4.0, 0.0, 5
-1.5, 0.0, 0.3, 0.0, 15
-0.5, -0.5, 0.3, 1.57, 5
-0.5, -0.5, 4.0, 1.57, 15
0.5, -0.5, 4.0, 1.57, 5
0.5, -0.5, 0.3, 1.57, 15
1.5, 0.0, 0.3, 3.14, 5
1.5, 0.0, 4.0, 3.14, 15
1.5, 1.0, 4.0, 3.14, 5
1.5, 1.0, 0.3, 3.14, 15
