energy consumption; timestamp
0.0234749,2.336
0.0969802,2.672
0.178266,3.016
0.401645,3.408
0.551502,3.784
0.638109,4.184
0.758972,4.528
0.884368,4.96
1.08225,5.368
1.23082,5.8
1.32812,6.272
1.35246,6.688
1.35586,7.104
1.35902,7.56
1.40635,7.984
1.40763,8.448
1.51327,8.856
1.81875,9.304
2.07034,9.792
2.43496,10.248
2.73269,10.712
3.10471,11.136
3.6102,11.624
4.07647,12.136
4.23425,12.656
4.36888,13.144
4.37296,13.64
4.37389,14.136
4.39021,14.6
4.54649,15.032
4.83941,15.272
5.00497,15.488
5.17855,15.712
5.38812,15.952
5.56716,16.184
5.69882,16.424
5.97809,16.664
6.23075,16.936
6.49381,17.176
6.701,17.352
6.8604,17.472
6.97957,17.6
7.07858,17.808
7.08366,18.032
7.12994,18.264
7.19213,18.488
7.20051,18.736
7.23199,18.96
7.23314,19.16
7.24844,19.4
7.28953,19.624
7.2946,19.832
7.29526,20.024
7.30791,20.248
7.31293,20.456
7.42542,20.68
7.64332,20.928
7.90198,21.272
8.16565,21.536
8.39103,21.872
8.72039,22.184
8.80713,22.488
8.92318,22.768
9.01159,23.056
9.01583,23.288
9.02687,23.544
9.03624,23.8
9.04634,24.096
9.05757,24.36
9.09638,24.6
9.0992,24.76
9.10856,24.832
9.12511,25.056
9.13605,25.264
9.17422,25.528
9.18664,25.8
9.22302,26.064
9.24304,26.312
9.28332,26.512
9.2865,26.744
9.29044,27.016
9.29387,27.304
9.29663,27.56
9.29922,27.848
9.30135,28.08
9.31593,28.328
9.32782,28.584
9.32857,28.792
9.33265,29.024
9.35075,29.2
9.35999,29.432
9.36663,29.728
9.3725,29.992
9.3763,30.248
9.37995,30.52
9.38423,30.832
9.38604,31.112
9.38625,31.368
9.38851,31.624
9.39509,31.872
9.39576,32.064
9.39621,32.32
9.41018,32.6
9.41124,32.832
9.41581,33.112
9.43273,33.352
9.44013,33.616
9.44821,33.888
9.45813,34.168
9.47616,34.448
9.48158,34.728
9.48983,34.944
9.50115,35.232
9.52689,35.704
9.54324,36.208
9.55104,36.728
9.55703,37.232
9.55837,37.744
9.55923,38.256
9.56,38.76
9.64879,39.24
9.87776,39.736
10.0224,40.264
10.0969,40.6
10.1471,40.936
10.1532,41.176
10.235,41.392
10.3257,41.704
10.3543,41.816
10.4269,42.248
10.448,42.528
10.4558,42.776
10.4696,43.2
10.51,43.624
10.5226,43.72
10.5359,43.8
