x,y,z,yaw,duration
 0, 0, 0.1, 0, 
 0, 0, 1.0, 0,    5
-2,-2, 1.0, 1.57, 
-2,-2, 2.0, 1.57, 
 2,-2, 1.0,-1.57, 
 2,-2, 2.0,-1.57, 
-2, 2, 1.0, 1.57, 
-2, 2, 2.0, 1.57, 
 2, 2, 1.0,-1.57, 
 2, 2, 2.0,-1.57, 
-2,-2, 1.0, 1.57, 
-2,-2, 2.0, 1.57, 
 2,-2, 1.0,-1.57, 
 2,-2, 2.0,-1.57, 
-2, 2, 1.0, 1.57, 
-2, 2, 2.0, 1.57, 
 2, 2, 1.0,-1.57, 
 2, 2, 2.0,-1.57, 
 0, 0, 1.0, 0,    5
 0, 0, 0.0, 0,    5
