x,y,z,yaw,duration
0,  0,0.5,0,10
1,  0,0.5,0,6
2,  0,0.5,0,6
3,  0,0.5,0,6
3.5,0,0.5,0,6
3.5,1,0.5,0,6
0  ,1,0.5,0,6
0,  0,0.5,0,6
0,  0,0,  0,6
